_pid,_asset_data.original_filename,_doi,title-1:title_sort_portion
cul:c2fqz61446,pl41_095_048r.tif,doi:10.7916/D8GJ11RJ,Leaf 048 - Recto
cul:9w0vt4bb33,pl41_096_048v.tif,doi:10.7916/D8K94RBH,Leaf 048 - Verso
cul:fn2z34tp81,pl41_097_049r.tif,doi:10.7916/D8TT67PW,Leaf 049 - Recto
cul:70rxwdbtdj,pl41_098_049v.tif,doi:10.7916/D87387R1,Leaf 049 - Verso
cul:8gtht76k04,pl41_099_050r.tif,doi:10.7916/D83B7GZD,Leaf 050 - Recto
cul:dfn2z34w8s,pl41_100_050v.tif,doi:10.7916/D8Q25H0B,Leaf 050 - Verso
cul:j9kd51c6xb,pl41_101_051r.tif,doi:10.7916/D8BV90DJ,Leaf 051 - Recto
cul:0vt4b8gw3g,pl41_102_051v.tif,doi:10.7916/D8FN2PZ6,Leaf 051 - Verso
cul:z612jm65k2,pl41_103_052r.tif,doi:10.7916/D82C0FRP,Leaf 052 - Recto
cul:g79cnp5k8z,pl41_104_052v.tif,doi:10.7916/D8P28FZW,Leaf 052 - Verso
cul:fj6q573prs,pl41_105_053r.tif,doi:10.7916/D8JD6DJJ,Leaf 053 - Recto
cul:mw6m905s1w,pl41_106_053v.tif,doi:10.7916/D8XK9Z8V,Leaf 053 - Verso
cul:0gb5mkkz29,pl41_107_054r.tif,doi:10.7916/D89W1ZB7,Leaf 054 - Recto
cul:3tx95x6c9d,pl41_108_054v.tif,doi:10.7916/D8ST96KZ,Leaf 054 - Verso
cul:d2547d7z98,pl41_109_055r.tif,doi:10.7916/D86416HV,Leaf 055 - Recto
cul:bnzs7h4627,pl41_110_055v.tif,doi:10.7916/D854459K,Leaf 055 - Verso
cul:f4qrfj6rpd,pl41_111_056r.tif,doi:10.7916/D8DN5NV8,Leaf 056 - Recto
cul:gtht76hgc0,pl41_112_056v.tif,doi:10.7916/D8HD9CHH,Leaf 056 - Verso
cul:3j9kd51dr3,pl41_113_057r.tif,doi:10.7916/D8RV25JG,Leaf 057 - Recto
cul:b2rbnzs93n,pl41_114_057v.tif,doi:10.7916/D81C3DKV,Leaf 057 - Verso
cul:66t1g1jzd8,pl41_115_058r.tif,doi:10.7916/D8WM2X5G,Leaf 058 - Recto
cul:r4xgxd26tb,pl41_116_058v.tif,doi:10.7916/D88W4X3H,Leaf 058 - Verso
cul:63xsj3tzvg,pl41_117_059r.tif,doi:10.7916/D8N6045W,Leaf 059 - Recto
cul:2280gb5p5p,pl41_118_059v.tif,doi:10.7916/D87W7VZQ,Leaf 059 - Verso
cul:2v6wwpzj6x,pl41_119_060r.tif,doi:10.7916/D8GF2B9S,Leaf 060 - Recto
cul:7wm37pvp0p,pl41_120_060v.tif,doi:10.7916/D8VQ4KDZ,Leaf 060 - Verso
cul:jdfn2z36dv,pl41_121_061r.tif,doi:10.7916/D8M6334V,Leaf 061 - Recto
cul:6q573n5vw3,pl41_122_061v.tif,doi:10.7916/D8447473,Leaf 061 - Verso
cul:rn8pk0p4br,pl41_123_062r.tif,doi:10.7916/D80C6CK8,Leaf 062 - Recto
cul:j9kd51c6xc,pl41_124_062v.tif,doi:10.7916/D8QZ3TR4,Leaf 062 - Verso
cul:9cnp5hqdkf,pl41_125_063r.tif,doi:10.7916/D8CN8MQW,Leaf 063 - Recto
